2026-04-10 16:06:15 | GET | meus-planos-api/categorias
2026-04-10 16:06:18 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:06:18 | POST | meus-planos-api/categorias
2026-04-10 16:06:18 | GET | meus-planos-api/categorias
2026-04-10 16:06:19 | GET | meus-planos-api/itens
rias
2026-04-10 16:06:28 | OPTIONS | meus-planos-api/itens
2026-04-10 16:06:28 | POST | meus-planos-api/itens
2026-04-10 16:06:28 | GET | meus-planos-api/itens
2026-04-10 16:06:34 | OPTIONS | meus-planos-api/itens
2026-04-10 16:06:34 | POST | meus-planos-api/itens
2026-04-10 16:06:34 | GET | meus-planos-api/itens
2026-04-10 16:06:35 | OPTIONS | meus-planos-api/itens/4
2026-04-10 16:06:35 | PUT | meus-planos-api/itens/4
2026-04-10 16:06:35 | GET | meus-planos-api/itens
2026-04-10 16:06:36 | PUT | meus-planos-api/itens/4
2026-04-10 16:06:36 | GET | meus-planos-api/itens
2026-04-10 16:06:37 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:06:37 | PUT | meus-planos-api/itens/3
2026-04-10 16:06:37 | GET | meus-planos-api/itens
2026-04-10 16:10:12 | GET | meus-planos-api/itens/3
2026-04-10 16:12:46 | PUT | meus-planos-api/itens/3
2026-04-10 16:13:24 | PUT | meus-planos-api/itens/3
2026-04-10 16:13:28 | PUT | meus-planos-api/itens/3
2026-04-10 16:27:23 | GET | meus-planos-api/itens
rias
2026-04-10 16:27:23 | GET | meus-planos-api/categorias
2026-04-10 16:27:40 | GET | meus-planos-api/itens
2026-04-10 16:27:40 | GET | meus-planos-api/categorias
2026-04-10 16:27:40 | GET | meus-planos-api/categorias
2026-04-10 16:27:40 | GET | meus-planos-api/itens
2026-04-10 16:27:40 | GET | meus-planos-api/categorias
2026-04-10 16:28:45 | GET | meus-planos-api/itens
rias
2026-04-10 16:28:53 | GET | meus-planos-api/categorias
2026-04-10 16:28:56 | GET | meus-planos-api/categorias
2026-04-10 16:29:16 | OPTIONS | meus-planos-api/itens/4
2026-04-10 16:29:16 | PUT | meus-planos-api/itens/4
2026-04-10 16:29:16 | GET | meus-planos-api/itens
2026-04-10 16:29:18 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:29:18 | PUT | meus-planos-api/itens/3
2026-04-10 16:29:18 | GET | meus-planos-api/itens
2026-04-10 16:29:18 | PUT | meus-planos-api/itens/3
2026-04-10 16:29:18 | GET | meus-planos-api/itens
2026-04-10 16:29:19 | PUT | meus-planos-api/itens/4
